date,sales_clean,onpromotion,oil_price
2013-01-01,0.0,0,93.14
2013-01-02,2652.0,0,93.14
2013-01-03,2121.0,0,92.97
2013-01-04,2056.0,0,93.12
2013-01-05,2216.0,0,93.14666666666668
2013-01-06,723.0,0,93.17333333333333
2013-01-07,2262.0,0,93.2
2013-01-08,1782.0,0,93.21
2013-01-09,2429.0,0,93.08
2013-01-10,1544.0,0,93.81
2013-01-11,1750.0,0,93.6
2013-01-12,1796.0,0,93.82333333333332
2013-01-13,961.0,0,94.04666666666667
2013-01-14,1902.0,0,94.27
2013-01-15,1671.0,0,93.26
2013-01-16,2387.0,0,94.28
2013-01-17,1648.0,0,95.49
2013-01-18,1804.0,0,95.61
2013-01-19,1956.0,0,95.73
2013-01-20,895.0,0,95.85
2013-01-21,1679.0,0,95.97
2013-01-22,1809.0,0,96.09
2013-01-23,2271.0,0,95.06
2013-01-24,1868.0,0,95.35
2013-01-25,1706.0,0,95.15
2013-01-26,1775.0,0,95.41666666666667
2013-01-27,811.0,0,95.68333333333334
2013-01-28,1695.0,0,95.95
2013-01-29,1575.0,0,97.62
2013-01-30,2157.0,0,97.98
2013-01-31,1496.0,0,97.65
2013-02-01,1808.0,0,97.46
2013-02-02,2092.0,0,97.04333333333332
2013-02-03,810.0,0,96.62666666666667
2013-02-04,2221.0,0,96.21
2013-02-05,1868.0,0,96.68
2013-02-06,2056.0,0,96.44
2013-02-07,1474.0,0,95.84
2013-02-08,1767.0,0,95.71
2013-02-09,1552.0,0,96.14333333333333
2013-02-10,710.25,0,96.57666666666667
2013-02-11,458.0,0,97.01
2013-02-12,628.0,0,97.48
2013-02-13,2422.0,0,97.03
2013-02-14,1743.0,0,97.3
2013-02-15,1713.0,0,95.95
2013-02-16,2046.0,0,96.135
2013-02-17,710.25,0,96.32
2013-02-18,1799.0,0,96.505
2013-02-19,1923.0,0,96.69
2013-02-20,2246.0,0,94.92
2013-02-21,2023.0,0,92.79
2013-02-22,1741.0,0,93.12
2013-02-23,1851.0,0,92.99333333333334
2013-02-24,782.0,0,92.86666666666666
2013-02-25,1897.0,0,92.74
2013-02-26,1671.0,0,92.63
2013-02-27,2174.0,0,92.84
2013-02-28,1667.0,0,92.03
2013-03-01,1930.0,0,90.71
2013-03-02,1980.0,0,90.51666666666667
2013-03-03,914.0,0,90.32333333333332
2013-03-04,2299.0,0,90.13
2013-03-05,1746.0,0,90.88
2013-03-06,2475.0,0,90.47
2013-03-07,1720.0,0,91.53
2013-03-08,1893.0,0,92.01
2013-03-09,1972.0,0,92.03
2013-03-10,854.0,0,92.05
2013-03-11,1809.0,0,92.07
2013-03-12,1808.0,0,92.44
2013-03-13,2010.0,0,92.47
2013-03-14,1685.0,0,93.03
2013-03-15,1760.0,0,93.49
2013-03-16,2082.0,0,93.56333333333333
2013-03-17,745.0,0,93.63666666666666
2013-03-18,1830.0,0,93.71
2013-03-19,1813.0,0,92.44
2013-03-20,2200.0,0,93.21
2013-03-21,1791.0,0,92.46
2013-03-22,1981.0,0,93.41
2013-03-23,1953.0,0,93.78999999999999
2013-03-24,725.0,0,94.17
2013-03-25,1918.0,0,94.55
2013-03-26,1768.0,0,95.99
2013-03-27,2208.0,0,96.53
2013-03-28,1875.0,0,97.24
2013-03-29,710.25,0,97.205
2013-03-30,1609.0,0,97.16999999999999
2013-03-31,747.0,0,97.13499999999999
2013-04-01,2322.0,0,97.1
2013-04-02,2133.0,0,97.23
2013-04-03,2666.0,0,95.02
2013-04-04,1785.0,0,93.26
2013-04-05,1950.0,0,92.76
2013-04-06,1932.0,0,92.96000000000001
2013-04-07,796.0,0,93.16
2013-04-08,1855.0,0,93.36
2013-04-09,1675.0,0,94.18
2013-04-10,2466.0,0,94.59
2013-04-11,1645.0,0,93.44
2013-04-12,1965.0,0,91.23
2013-04-13,1853.0,0,90.40333333333334
2013-04-14,735.0,0,89.57666666666667
2013-04-15,1871.0,0,88.75
2013-04-16,1997.0,0,88.73
2013-04-17,2320.0,0,86.65
2013-04-18,1814.0,0,87.83
2013-04-19,1709.0,0,88.04
2013-04-20,1965.0,0,88.29666666666667
2013-04-21,925.0,0,88.55333333333334
2013-04-22,1848.0,0,88.81
2013-04-23,1906.0,0,89.21
2013-04-24,3002.0,0,91.07
2013-04-25,1513.0,0,93.27
2013-04-26,1894.0,0,92.63
2013-04-27,1848.0,0,93.11666666666666
2013-04-28,813.0,0,93.60333333333334
2013-04-29,1579.0,0,94.09
2013-04-30,1872.0,0,93.22
2013-05-01,966.0,0,90.74
2013-05-02,1988.0,0,93.7
2013-05-03,2321.0,0,95.25
2013-05-04,2091.0,0,95.43333333333334
2013-05-05,1020.0,0,95.61666666666666
2013-05-06,2162.0,0,95.8
2013-05-07,1938.0,0,95.28
2013-05-08,2395.0,0,96.24
2013-05-09,1746.0,0,96.09
2013-05-10,1929.0,0,95.81
2013-05-11,2244.0,0,95.46000000000001
2013-05-12,674.0,0,95.11
2013-05-13,1990.0,0,94.76
2013-05-14,2006.0,0,93.96
2013-05-15,2109.0,0,93.95
2013-05-16,1902.0,0,94.85
2013-05-17,1988.0,0,95.72
2013-05-18,2135.0,0,95.91
2013-05-19,764.0,0,96.10000000000001
2013-05-20,1949.0,0,96.29
2013-05-21,1916.0,0,95.55
2013-05-22,2098.0,0,93.98
2013-05-23,1926.0,0,94.12
2013-05-24,650.0,0,93.84
2013-05-25,1527.0,0,94.0425
2013-05-26,710.25,0,94.245
2013-05-27,1825.0,0,94.4475
2013-05-28,1944.0,0,94.65
2013-05-29,2590.0,0,93.13
2013-05-30,1796.0,0,93.57
2013-05-31,2111.0,0,91.93
2013-06-01,2252.0,0,92.42333333333333
2013-06-02,710.25,0,92.91666666666667
2013-06-03,2403.0,0,93.41
2013-06-04,2231.0,0,93.36
2013-06-05,2677.0,0,93.66
2013-06-06,2060.0,0,94.71
2013-06-07,2144.0,0,96.11
2013-06-08,2054.0,0,96.01333333333334
2013-06-09,882.0,0,95.91666666666666
2013-06-10,2012.0,0,95.82
2013-06-11,1967.0,0,95.5
2013-06-12,2220.0,0,95.98
2013-06-13,1589.0,0,96.66
2013-06-14,2105.0,0,97.83
2013-06-15,1844.0,0,97.84
2013-06-16,710.25,0,97.85
2013-06-17,2105.0,0,97.86
2013-06-18,1912.0,0,98.46
2013-06-19,2834.0,0,98.24
2013-06-20,1769.0,0,94.89
2013-06-21,1763.0,0,93.81
2013-06-22,1776.0,0,94.23
2013-06-23,834.0,0,94.64999999999999
2013-06-24,1884.0,0,95.07
2013-06-25,2127.0,0,95.25
2013-06-26,2227.0,0,95.47
2013-06-27,1727.0,0,97.0
2013-06-28,1994.0,0,96.36
2013-06-29,1926.0,0,96.88666666666667
2013-06-30,774.0,0,97.41333333333333
2013-07-01,2235.0,0,97.94
2013-07-02,2083.0,0,99.65
2013-07-03,2587.0,0,101.92
2013-07-04,1884.0,0,102.505
2013-07-05,2052.0,0,103.09
2013-07-06,1768.0,0,103.07000000000001
2013-07-07,864.0,0,103.05
2013-07-08,2116.0,0,103.03
2013-07-09,1926.0,0,103.46
2013-07-10,2609.0,0,106.41
2013-07-11,1735.0,0,104.77
2013-07-12,1990.0,0,105.85
2013-07-13,1950.0,0,105.96666666666667
2013-07-14,710.25,0,106.08333333333333
2013-07-15,2100.0,0,106.2
2013-07-16,2357.0,0,105.88
2013-07-17,2154.0,0,106.39
2013-07-18,1826.0,0,107.94
2013-07-19,1895.0,0,108.0
2013-07-20,1840.0,0,107.53666666666666
2013-07-21,735.0,0,107.07333333333334
2013-07-22,1824.0,0,106.61
2013-07-23,2225.0,0,107.13
2013-07-24,2004.0,0,105.41
2013-07-25,1849.0,0,105.47
2013-07-26,1912.0,0,104.76
2013-07-27,1768.0,0,104.71000000000001
2013-07-28,710.25,0,104.66
2013-07-29,2155.0,0,104.61
2013-07-30,1673.0,0,103.14
2013-07-31,2232.0,0,105.1
2013-08-01,2453.0,0,107.93
2013-08-02,1836.0,0,106.94
2013-08-03,2038.0,0,106.83
2013-08-04,710.25,0,106.72
2013-08-05,2219.0,0,106.61
2013-08-06,1903.0,0,105.32
2013-08-07,2155.0,0,104.41
2013-08-08,1658.0,0,103.45
2013-08-09,2039.0,0,106.04
2013-08-10,1315.0,0,106.09
2013-08-11,710.25,0,106.14
2013-08-12,2121.0,0,106.19
2013-08-13,1752.0,0,106.78
2013-08-14,2157.0,0,106.89
2013-08-15,1811.0,0,107.43
2013-08-16,1898.0,0,107.58
2013-08-17,1801.0,0,107.43333333333334
2013-08-18,710.25,0,107.28666666666666
2013-08-19,1743.0,0,107.14
2013-08-20,1817.0,0,104.9
2013-08-21,2154.0,0,103.93
2013-08-22,1676.0,0,104.93
2013-08-23,2032.0,0,106.48
2013-08-24,1667.0,0,106.28
2013-08-25,813.0,0,106.08
2013-08-26,1863.0,0,105.88
2013-08-27,2118.0,0,109.11
2013-08-28,2231.0,0,110.17
2013-08-29,1723.0,0,108.51
2013-08-30,1943.0,0,107.98
2013-08-31,1897.0,0,108.1525
2013-09-01,992.0,0,108.325
2013-09-02,1952.0,0,108.4975
2013-09-03,1885.0,0,108.67
2013-09-04,2460.0,0,107.29
2013-09-05,1809.0,0,108.5
2013-09-06,2050.0,0,110.62
2013-09-07,2002.0,0,110.28666666666668
2013-09-08,888.0,0,109.95333333333333
2013-09-09,1964.0,0,109.62
2013-09-10,1748.0,0,107.48
2013-09-11,2356.0,0,107.65
2013-09-12,2145.0,0,108.72
2013-09-13,2184.0,0,108.31
2013-09-14,1834.0,0,107.72
2013-09-15,977.0,0,107.13000000000001
2013-09-16,2054.0,0,106.54
2013-09-17,1783.0,0,105.36
2013-09-18,2054.0,0,108.23
2013-09-19,1837.0,0,106.26
2013-09-20,1720.0,0,104.7
2013-09-21,2017.0,0,104.34
2013-09-22,779.0,0,103.98
2013-09-23,1935.0,0,103.62
2013-09-24,1992.0,0,103.22
2013-09-25,2248.0,0,102.68
2013-09-26,1721.0,0,103.1
2013-09-27,1932.0,0,102.86
2013-09-28,1821.0,0,102.69333333333333
2013-09-29,977.0,0,102.52666666666667
2013-09-30,1989.0,0,102.36
2013-10-01,2820.0,0,102.09
2013-10-02,2731.0,0,104.15
2013-10-03,1929.0,0,103.29
2013-10-04,2192.0,0,103.83
2013-10-05,1934.0,0,103.57666666666667
2013-10-06,914.0,0,103.32333333333332
2013-10-07,2124.0,0,103.07
2013-10-08,2189.0,0,103.54
2013-10-09,2289.0,0,101.63
2013-10-10,1898.0,0,103.08
2013-10-11,1239.0,0,102.17
2013-10-12,1428.0,0,102.26666666666667
2013-10-13,850.0,0,102.36333333333333
2013-10-14,2031.0,0,102.46
2013-10-15,2082.0,0,101.15
2013-10-16,2155.0,0,102.34
2013-10-17,2129.0,0,100.72
