store_nbr,family,n_days,mean_sales,std_sales,adf_pvalue_c,adf_pvalue_ct,d_c,d_ct,d,needs_review,seasonal_strength,n_outliers,pct_outliers
1,AUTOMOTIVE,1688,3.2514810426540284,2.757217859451334,0.002252558273162939,2.1028875214289884e-07,0.0,0.0,0.0,False,0.26240904049471836,28,1.66
1,BABY CARE,1688,0.0,0.0,,,,,,True,0.0,0,0.0
1,BEAUTY,1688,2.4102488151658767,1.8975935053997748,0.000523789059770883,2.7500239527289378e-12,0.0,0.0,0.0,False,0.2814865644413127,53,3.14
1,BEVERAGES,1688,1587.9339454976302,726.2017296963315,0.025116660570261896,1.4494263961686748e-05,0.0,0.0,0.0,False,0.6183951528466918,4,0.24
1,BOOKS,1688,0.1273696682464455,0.5442023585670637,0.09684134642351067,0.1662200527576299,1.0,1.0,1.0,False,1.0,128,7.58
1,BREAD/BAKERY,1688,338.3573153809242,111.19853693434005,0.041242721147997596,0.004190546536015066,0.0,0.0,0.0,False,0.703809817260073,10,0.59
1,CELEBRATION,1688,9.972156398104266,33.19879758135948,9.073050922620668e-16,0.0,0.0,0.0,0.0,False,0.02338900606976324,15,0.89
1,CLEANING,1688,640.4028436018957,217.94205133335296,8.949140964853306e-11,1.3979240579115951e-12,0.0,0.0,0.0,False,0.6898773595544165,192,11.37
1,DAIRY,1688,626.276066350711,210.96044285309344,0.1124947052124381,0.02694483225250487,1.0,0.0,,True,0.6902806266193027,0,0.0
1,DELI,1688,122.93359394905212,41.13198557733509,0.0056244940174174154,0.0016590197190329854,0.0,0.0,0.0,False,0.6517980439970877,21,1.24
1,EGGS,1688,140.43127962085308,37.497362313368114,2.8912472970695194e-08,2.768038366816526e-08,0.0,0.0,0.0,False,0.6794166336024762,27,1.6
1,FROZEN FOODS,1688,129.9329715521327,172.69163051517637,9.817172084656091e-13,2.720304774356602e-11,0.0,0.0,0.0,False,0.08186999302166154,86,5.09
1,GROCERY I,1688,2223.7562203791467,778.4969010703275,0.0008577666796304415,2.4139804755158686e-10,0.0,0.0,0.0,False,0.5737131610641308,72,4.27
